Num cores =  4

xdim ydim allwr allre colle readd


1000 1000 0.015 0.004 0.006 0.012
1000 2000 0.016 0.007 0.011 0.022
1000 3000 0.032 0.011 0.017 0.032
1000 4000 0.045 0.015 0.021 0.041
1000 5000 0.066 0.017 0.025 0.054
1000 6000 0.070 0.019 0.032 0.062
1000 7000 0.076 0.025 0.039 0.074
1000 8000 0.084 0.028 0.041 0.083
1000 9000 0.100 0.032 0.050 0.093
2000 1000 0.013 0.005 0.011 0.021
2000 2000 0.056 0.010 0.020 0.041
2000 3000 0.073 0.015 0.033 0.063
2000 4000 0.085 0.018 0.043 0.080
2000 5000 0.115 0.025 0.053 0.102
2000 6000 0.196 0.030 0.064 0.125
2000 7000 0.262 0.034 0.075 0.147
2000 8000 0.238 0.037 0.085 0.163
2000 9000 0.257 0.041 0.092 0.188
3000 1000 0.022 0.006 0.015 0.032
3000 2000 0.057 0.013 0.031 0.063
3000 3000 0.099 0.017 0.048 0.098
3000 4000 0.212 0.024 0.060 0.127
3000 5000 0.209 0.030 0.078 0.151
3000 6000 0.254 0.037 0.086 0.190
3000 7000 0.351 0.041 0.109 0.223
3000 8000 0.389 0.047 0.131 0.270
3000 9000 0.386 0.054 0.129 0.291
4000 1000 0.060 0.007 0.019 0.042
4000 2000 0.087 0.013 0.040 0.082
4000 3000 0.158 0.022 0.057 0.129
4000 4000 0.233 0.029 0.075 0.171
4000 5000 0.336 0.036 0.103 0.207
4000 6000 0.601 0.043 0.119 0.240
4000 7000 0.497 0.052 0.140 0.310
4000 8000 0.485 0.057 0.161 0.359
4000 9000 0.545 0.062 0.179 0.381
5000 1000 0.092 0.008 0.025 0.054
5000 2000 0.147 0.016 0.054 0.108
5000 3000 0.235 0.024 0.083 0.156
5000 4000 0.351 0.032 0.100 0.213
5000 5000 0.649 0.038 0.149 0.279
5000 6000 0.446 0.047 0.155 0.317
5000 7000 0.508 0.059 0.181 0.381
5000 8000 0.632 0.071 0.229 0.539
5000 9000 0.734 0.070 0.229 0.582
6000 1000 0.073 0.009 0.030 0.070
6000 2000 0.166 0.019 0.060 0.125
6000 3000 0.363 0.029 0.084 0.187
6000 4000 0.307 0.038 0.126 0.250
6000 5000 0.496 0.045 0.145 0.325
6000 6000 0.623 0.055 0.174 0.393
6000 7000 0.662 0.061 0.208 0.439
6000 8000 0.704 0.074 0.234 0.624
6000 9000 0.768 0.084 0.301 0.756
7000 1000 0.071 0.012 0.038 0.073
7000 2000 0.254 0.021 0.068 0.141
7000 3000 0.457 0.031 0.102 0.215
7000 4000 0.478 0.042 0.141 0.287
7000 5000 0.567 0.052 0.166 0.365
7000 6000 0.692 0.064 0.207 0.445
7000 7000 0.614 0.070 0.234 0.498
7000 8000 0.887 0.083 0.281 0.747
7000 9000 1.085 0.094 0.352 1.013
8000 1000 0.125 0.011 0.040 0.086
8000 2000 0.240 0.023 0.093 0.187
8000 3000 0.391 0.034 0.123 0.286
8000 4000 0.441 0.047 0.150 0.336
8000 5000 0.775 0.056 0.191 0.402
8000 6000 0.862 0.065 0.228 0.498
8000 7000 0.890 0.084 0.260 0.585
8000 8000 1.023 0.090 0.297 0.655
8000 9000 1.236 0.104 0.364 0.898
9000 1000 0.124 0.013 0.044 0.092
9000 2000 0.262 0.026 0.086 0.193
9000 3000 0.611 0.036 0.127 0.276
9000 4000 0.550 0.048 0.163 0.367
9000 5000 1.029 0.064 0.231 0.478
9000 6000 1.053 0.077 0.253 0.552
9000 7000 0.999 0.086 0.284 0.647
9000 8000 1.179 0.102 0.365 0.984
9000 9000 1.375 0.108 0.375 1.343
